"n_selection"	"var"	"var_se"	"dist"	"dist_se"	"dist_ls"	"dist_ls_se"	"z"	"z_se"	"w"	"w_se"	"evv"	"mean_cor"
"19"	45	10.7245666070883	3.47950887202678	5.38878609136222	0.0909602735530199	7.54613628548807	0.197826568401654	1.76185537618917	0.0200204926767876	0.910618990345499	0.000943260968623825	0.897448192537182	-0.00114971280001555
"20"	50	8.36166815171681	2.71288338119067	5.50305455526329	0.147866269340787	7.89657193917383	0.206508895032464	1.45089221292449	0.0247287888982259	0.796397390474257	0.00122487009298095	1.0233102409544	-0.004835286550124
"21"	5	52.9008925749241	17.16331594518	7.26665344712588	0.18218321302227	3.30913191053472	0.140509380005516	1.98501157902397	0.0168375106725644	0.999293067344424	2.29824474062021e-05	0.105490758408882	0.0521628386786391
"22"	10	47.8825280421	15.5351434926461	6.97872516640135	0.171197357820966	3.95805395242072	0.156957489001903	1.99956156756585	0.0114614626419077	0.998693981512965	3.40166358626484e-05	0.148689697997293	0.031629043975009
"23"	15	40.1942491344601	13.0407364317521	6.69497211868678	0.129023535932158	4.99370493914743	0.157271810523998	1.9925983929235	0.00844939850522818	0.998396431879147	3.44724546054862e-05	0.284197492112733	-0.00852527960784116
"24"	20	38.0176500970742	12.3345544535989	6.51374956141362	0.172479702876474	5.18023826587923	0.152505414029888	1.99660059156119	0.00764186182120622	0.997671655188427	3.05624402349694e-05	0.402687409858553	0.00969321242653968
"25"	25	29.9833494378432	9.72788311213434	6.00532328455038	0.117844461627222	5.66205468273061	0.165260621387045	2.00575513634804	0.00768500785246555	0.996319431087549	5.63563500592772e-05	0.566450078882278	0.00769809612313607
"26"	30	25.3372408386043	8.22048643274156	5.80617691796844	0.117032254690921	6.17376871412273	0.22442126070316	1.96617853587564	0.00996337434545495	0.990960035067488	0.000224629050820505	0.56532774993861	0.00186503394780461
"27"	35	16.9739700541099	5.50708308881744	5.90480493513846	0.0999625490781994	7.0627595951654	0.181933837636208	1.87015993923255	0.0136342902762181	0.974683629101865	0.000486241456809813	0.705243409557875	-0.00907416956285591
"28"	40	13.340290040192	4.32816161723299	5.68815122809055	0.127160517220909	7.37582943725643	0.222805014092608	1.80112615374547	0.0169516889418484	0.947730902023401	0.000831048723567479	0.83188446851565	-0.00517792778437918
"29"	45	10.6379765813074	3.45141535795092	5.51722789317952	0.142847709569436	7.74097057249978	0.179580876609262	1.60995368415647	0.0234376241606932	0.864992515881186	0.00110616654920307	0.854634724358373	-0.0057906130503514
"30"	50	7.37477491635507	2.39269293490124	4.46764025204344	0.119661605762559	7.36805049644906	0.144490666495823	1.7662561952316	0.0208141423862235	0.885379149319837	0.000698985556555152	1.02207966940321	0.00472577182020697
"31"	5	49.9133053957856	16.1940146692762	7.06701416370946	0.181312348273761	3.32519242439778	0.134274925257812	1.99616431954992	0.0181542217723131	0.999184405012649	2.71252424707333e-05	0.177450609801409	0.0921057468100369
"32"	10	47.8518640417998	15.5251947772336	6.94283281731425	0.208953101023888	3.89155716237146	0.156272227733054	1.99977358829506	0.0104591428197442	0.998912227550555	2.34874643254105e-05	0.133172575626504	0.01628612268565
"33"	15	40.1341687352468	13.0212437762671	6.58743228715305	0.190924433329244	4.89791055227634	0.2016353225602	1.99953157060553	0.0089602994157827	0.998201308341163	2.71368857620002e-05	0.299162122507316	-0.00280824151756088
"34"	20	36.3021023281347	11.7779572594088	6.38221983276516	0.201349527795912	4.98502658211223	0.152031215459408	1.99463584936392	0.00799400059200524	0.997450742879955	2.67645281531688e-05	0.375833109514053	-0.000559193714744323
"35"	25	29.4554427558523	9.55660756778036	6.09179573331823	0.176219333315763	5.99691655675308	0.128286579954256	1.95871400045581	0.0094780111237122	0.994204313818355	0.00014117408453809	0.527391808313458	0.0117975802514251
"36"	30	25.2782415961795	8.201344550838	5.93020226545751	0.145652011102668	6.44207495981262	0.165442497496275	1.9805570139021	0.00866755039217273	0.993218554588085	0.000108538984217673	0.600354878233829	-0.00186060384290164
"37"	35	19.2779243556084	6.25458457083626	6.00314932678687	0.124367285365626	7.38909326730622	0.202783779259699	1.79089715487001	0.0169271735613931	0.958252755517087	0.000527301015715958	0.745281940962402	-0.005750910819467
"38"	40	14.5846554110228	4.73188705495715	6.04958954737239	0.146980295407864	7.78119444001109	0.152432593120165	1.59391794546068	0.0223673009954936	0.89338907588686	0.000901968396181732	0.885227394362841	-0.00658912372726396
